Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
AUDI A5 Sportback quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7E,midsize car,5,26,34,29,6,No,307
AUDI A6,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,midsize car,5,23,32,26,5,No,335
AUDI A6,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,midsize car,5,23,32,26,5,No,335
AUDI Q3,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NVGAJ02.0A3T,small SUV,7,23,30,26,5,No,346
AUDI Q3,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NVGAJ02.0A3T,small SUV,7,23,30,26,5,No,346
AUDI Q3 S line quattro,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NVGAJ02.0A3T,small SUV,7,21,28,24,5,No,375
AUDI Q3 S line quattro,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NVGAJ02.0A3T,small SUV,7,21,28,24,5,No,375
AUDI Q5 S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,small SUV,5,23,28,25,5,No,354
AUDI Q5 S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,small SUV,5,23,28,25,5,No,354
AUDI Q5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,small SUV,5,23,28,25,5,No,354
AUDI Q5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,small SUV,5,23,28,25,5,No,354
AUDI Q5 quattro,2,4,AutoMan-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7E,small SUV,5,23,29,25,5,No,349
AUDI Q5 quattro,2,4,AutoMan-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7E,small SUV,5,23,29,25,5,No,349
AUDI Q7 quattro,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NVGAT02.0AA7,standard SUV,3,20,25,22,5,No,406
AUDI Q7 quattro,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NVGAT02.0AA7,standard SUV,3,20,25,22,5,No,406
AUDI S3,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAV02.0A7N,small car,5,23,32,27,6,No,331
